variant,n_train,run_idx,seed,test_accuracy,test_macro_precision,test_macro_recall,test_macro_f1,train_accuracy,heldout_accuracy,generalization_gap,split_signature,data_signature,hyperparameter_signature,source_type,train_time_s
no_caim,2,1,201,0.4210337401292175,0.49164729296893067,0.4210337401292175,0.4163620747155973,1.0,0.42103374004364014,0.5789662599563599,aaed6e0cbf7e909ebd222bf47036cd1c7b252af6490eb089c52bf89b37ce35e2,fceed958e6a2014a43a3c3ed8c6aa5c941680d1c6a82b0dcda6f4bf2a2a4ef35,5ad8b2b0c14afbdbcd128a062936a76cd3464251f9c448f76b8dc3ff0b5781b1,new_paper_aligned_training,98.84599619999972
full,2,2,202,0.700646087580761,0.8037826738986681,0.700646087580761,0.7010914732906102,1.0,0.7006461024284363,0.2993538975715637,d1c8e84e2c68949110f7b60a446d9901e43697772026c65dfb42f86838f64eac,fceed958e6a2014a43a3c3ed8c6aa5c941680d1c6a82b0dcda6f4bf2a2a4ef35,5ad8b2b0c14afbdbcd128a062936a76cd3464251f9c448f76b8dc3ff0b5781b1,new_paper_aligned_training,96.34584929999983
no_caim,2,2,202,0.5796841349605169,0.6943767654347252,0.5796841349605169,0.5740551063035533,1.0,0.5796841382980347,0.42031586170196533,d1c8e84e2c68949110f7b60a446d9901e43697772026c65dfb42f86838f64eac,fceed958e6a2014a43a3c3ed8c6aa5c941680d1c6a82b0dcda6f4bf2a2a4ef35,5ad8b2b0c14afbdbcd128a062936a76cd3464251f9c448f76b8dc3ff0b5781b1,new_paper_aligned_training,89.38298159999977
full,2,3,203,0.632089016511127,0.8005072234425459,0.632089016511127,0.652553874904103,1.0,0.6320890188217163,0.3679109811782837,1bb6bc00c152101f539090a5cce1f5ca2717bb45c224dea51c98cedcfc7df991,fceed958e6a2014a43a3c3ed8c6aa5c941680d1c6a82b0dcda6f4bf2a2a4ef35,5ad8b2b0c14afbdbcd128a062936a76cd3464251f9c448f76b8dc3ff0b5781b1,new_paper_aligned_training,96.7321391000005
no_caim,2,3,203,0.591170136396267,0.6719954458310691,0.5911701363962669,0.579186449016723,1.0,0.5911701321601868,0.40882986783981323,1bb6bc00c152101f539090a5cce1f5ca2717bb45c224dea51c98cedcfc7df991,fceed958e6a2014a43a3c3ed8c6aa5c941680d1c6a82b0dcda6f4bf2a2a4ef35,5ad8b2b0c14afbdbcd128a062936a76cd3464251f9c448f76b8dc3ff0b5781b1,new_paper_aligned_training,87.61121160000039
full,2,4,204,0.8901651112706389,0.8972830618493529,0.8901651112706388,0.890653796589513,1.0,0.8901650905609131,0.10983490943908691,968070c5106be22e6de3da14b10e50b64b694cab172a3cadaa7b966af04ea8f4,fceed958e6a2014a43a3c3ed8c6aa5c941680d1c6a82b0dcda6f4bf2a2a4ef35,5ad8b2b0c14afbdbcd128a062936a76cd3464251f9c448f76b8dc3ff0b5781b1,new_paper_aligned_training,96.64523999999983
no_caim,2,4,204,0.6417803302225413,0.6730740008272191,0.6417803302225413,0.6203097202265189,1.0,0.6417803168296814,0.3582196831703186,968070c5106be22e6de3da14b10e50b64b694cab172a3cadaa7b966af04ea8f4,fceed958e6a2014a43a3c3ed8c6aa5c941680d1c6a82b0dcda6f4bf2a2a4ef35,5ad8b2b0c14afbdbcd128a062936a76cd3464251f9c448f76b8dc3ff0b5781b1,new_paper_aligned_training,93.14387410000018
full,2,5,205,0.6891600861450108,0.8182889912918405,0.6891600861450108,0.6786333893625169,1.0,0.6891601085662842,0.3108398914337158,70ee6bef7af26ba3080a362111d8cf72657a1024bfe7b6d16872070929788706,fceed958e6a2014a43a3c3ed8c6aa5c941680d1c6a82b0dcda6f4bf2a2a4ef35,5ad8b2b0c14afbdbcd128a062936a76cd3464251f9c448f76b8dc3ff0b5781b1,new_paper_aligned_training,94.60220420000041
no_caim,2,5,205,0.5696338837042355,0.7518293369101289,0.5696338837042355,0.5714584965880158,1.0,0.5696339011192322,0.4303660988807678,70ee6bef7af26ba3080a362111d8cf72657a1024bfe7b6d16872070929788706,fceed958e6a2014a43a3c3ed8c6aa5c941680d1c6a82b0dcda6f4bf2a2a4ef35,5ad8b2b0c14afbdbcd128a062936a76cd3464251f9c448f76b8dc3ff0b5781b1,new_paper_aligned_training,87.88119750000078
full,2,6,206,0.7925340990667624,0.8067303569899759,0.7925340990667624,0.784011129066079,1.0,0.7925341129302979,0.20746588706970215,9a2eac7e1d6fdc9b4529a94d82e1cf0aeffa32b9e30c99d0b6ebbbdbdccdd396,fceed958e6a2014a43a3c3ed8c6aa5c941680d1c6a82b0dcda6f4bf2a2a4ef35,5ad8b2b0c14afbdbcd128a062936a76cd3464251f9c448f76b8dc3ff0b5781b1,new_paper_aligned_training,94.81882979999955
