case,load,n_train,seed,snr_db,method,accuracy,macro_precision,macro_recall,macro_f1
KAIST,4Nm,20,20260808,0.0,TF-SVM early fusion,0.8445,0.8655730789732654,0.8445,0.8491238511508243
KAIST,4Nm,20,20260808,0.0,TF-SVM late fusion,0.9445,0.9530294392495332,0.9445,0.9450523758447664
KAIST,2Nm,25,20260808,0.0,TF-SVM early fusion,0.94,0.9448896772386096,0.9400000000000001,0.939889218399286
KAIST,2Nm,25,20260808,0.0,TF-SVM late fusion,0.9875,0.9878555186938531,0.9875,0.9875292614964433
KAIST,4Nm,25,20260808,0.0,TF-SVM early fusion,0.8885,0.909472922664048,0.8885,0.8924742994271266
KAIST,4Nm,25,20260808,0.0,TF-SVM late fusion,0.944,0.953972444517779,0.9440000000000002,0.9442749604154734
KAIST,2Nm,30,20260808,0.0,TF-SVM early fusion,0.948,0.9477946436380084,0.9480000000000001,0.9477136195509523
KAIST,2Nm,30,20260808,0.0,TF-SVM late fusion,0.99,0.9899998171427284,0.99,0.9899758096554061
KAIST,4Nm,30,20260808,0.0,TF-SVM early fusion,0.9315,0.9361399330076073,0.9315,0.9327872415550494
KAIST,4Nm,30,20260808,0.0,TF-SVM late fusion,0.9815,0.9823330157722028,0.9814999999999999,0.981564373861333
KAIST-noise,2Nm,30,20260808,0.0,TF-SVM early fusion,0.948,0.9477946436380084,0.9480000000000001,0.9477136195509523
KAIST-noise,2Nm,30,20260808,0.0,TF-SVM late fusion,0.99,0.9899998171427284,0.99,0.9899758096554061
KAIST-noise,2Nm,30,20260808,-4.0,TF-SVM early fusion,0.2,0.04,0.2,0.06666666666666668
KAIST-noise,2Nm,30,20260808,-4.0,TF-SVM late fusion,0.2,0.04,0.2,0.06666666666666668
KAIST-noise,2Nm,30,20260808,-8.0,TF-SVM early fusion,0.2,0.04,0.2,0.06666666666666668
KAIST-noise,2Nm,30,20260808,-8.0,TF-SVM late fusion,0.2,0.04,0.2,0.06666666666666668
KAIST-noise,4Nm,30,20260808,0.0,TF-SVM early fusion,0.9315,0.9361399330076073,0.9315,0.9327872415550494
KAIST-noise,4Nm,30,20260808,0.0,TF-SVM late fusion,0.9815,0.9823330157722028,0.9814999999999999,0.981564373861333
KAIST-noise,4Nm,30,20260808,-4.0,TF-SVM early fusion,0.2,0.04,0.2,0.06666666666666668
KAIST-noise,4Nm,30,20260808,-4.0,TF-SVM late fusion,0.2,0.04,0.2,0.06666666666666668
KAIST-noise,4Nm,30,20260808,-8.0,TF-SVM early fusion,0.2,0.04,0.2,0.06666666666666668
KAIST-noise,4Nm,30,20260808,-8.0,TF-SVM late fusion,0.2,0.04,0.2,0.06666666666666668
