case,load,n_train,seed,snr_db,method,accuracy,macro_precision,macro_recall,macro_f1
KAIST-noise,4Nm,30,20260806,0.0,TF-SVM early fusion,0.895,0.915944478827736,0.8949999999999999,0.8978817464527218
KAIST-noise,4Nm,30,20260806,0.0,TF-SVM late fusion,0.9605,0.966254399399119,0.9605,0.9611096669769619
KAIST-noise,4Nm,30,20260806,-4.0,TF-SVM early fusion,0.2,0.04,0.2,0.06666666666666668
KAIST-noise,4Nm,30,20260806,-4.0,TF-SVM late fusion,0.2,0.04,0.2,0.06666666666666668
KAIST-noise,4Nm,30,20260806,-8.0,TF-SVM early fusion,0.2,0.04,0.2,0.06666666666666668
KAIST-noise,4Nm,30,20260806,-8.0,TF-SVM late fusion,0.2,0.04,0.2,0.06666666666666668
KAIST,2Nm,5,20260807,0.0,TF-SVM early fusion,0.6845,0.6184303805955904,0.6845,0.6354116056898341
KAIST,2Nm,5,20260807,0.0,TF-SVM late fusion,0.8685,0.867647196019124,0.8685,0.8675925558725288
KAIST,4Nm,5,20260807,0.0,TF-SVM early fusion,0.627,0.5840102412750718,0.627,0.5888954469563586
KAIST,4Nm,5,20260807,0.0,TF-SVM late fusion,0.8,0.8212616281034864,0.8,0.8027234232917632
KAIST,2Nm,10,20260807,0.0,TF-SVM early fusion,0.845,0.8453332681858688,0.8450000000000001,0.8436767152936856
KAIST,2Nm,10,20260807,0.0,TF-SVM late fusion,0.961,0.9620430048356365,0.961,0.9607900817120344
KAIST,4Nm,10,20260807,0.0,TF-SVM early fusion,0.789,0.8075225128759792,0.7889999999999999,0.7950786979856156
KAIST,4Nm,10,20260807,0.0,TF-SVM late fusion,0.9285,0.9314974295477672,0.9285,0.9287381419407646
KAIST,2Nm,15,20260807,0.0,TF-SVM early fusion,0.8795,0.889544776293446,0.8795,0.8813242955159591
KAIST,2Nm,15,20260807,0.0,TF-SVM late fusion,0.979,0.9794041149211783,0.9790000000000001,0.9789579790855676
KAIST,4Nm,15,20260807,0.0,TF-SVM early fusion,0.792,0.8474510499755237,0.792,0.8033603090954694
KAIST,4Nm,15,20260807,0.0,TF-SVM late fusion,0.941,0.9506212886760819,0.9410000000000001,0.9422029164584538
KAIST,2Nm,20,20260807,0.0,TF-SVM early fusion,0.927,0.9275580340567633,0.9269999999999999,0.9267303889694427
KAIST,2Nm,20,20260807,0.0,TF-SVM late fusion,0.972,0.9721889559459044,0.9719999999999999,0.9719290293786544
KAIST,4Nm,20,20260807,0.0,TF-SVM early fusion,0.869,0.8882316178494017,0.8690000000000001,0.8734488660148635
KAIST,4Nm,20,20260807,0.0,TF-SVM late fusion,0.955,0.9584664726154601,0.9550000000000001,0.9554694106691649
KAIST,2Nm,25,20260807,0.0,TF-SVM early fusion,0.9255,0.9262549180013263,0.9254999999999999,0.925457864141562
