source_type,reference_type,source_table,case,load,n_train,model,accuracy_mean,accuracy_sd,macro_f1_mean,macro_f1_sd,macro_precision_mean,macro_precision_sd,macro_recall_mean,macro_recall_sd,runs,retained_after_trim,aggregation,benchmark_scope,comparison_type
main_manuscript_deep_reference,main_manuscript_aggregated_reference,Table 9,KAIST,2Nm,20,CDTFAFN,0.8343,0.0235,0.8312,0.0247,0.8426,0.0259,0.928875,0.04005289471436488,10,8,trimmed_mean_sd_drop_one_high_one_low,main-manuscript deep-model aggregated references; no deep-model training or per-seed pairing,descriptive_aggregated_reference_only
main_manuscript_deep_reference,main_manuscript_aggregated_reference,Table 9,KAIST,2Nm,25,CDTFAFN,0.8644,0.0208,0.8625,0.0213,0.8716,0.0226,0.86225,0.102824790298838,10,8,trimmed_mean_sd_drop_one_high_one_low,main-manuscript deep-model aggregated references; no deep-model training or per-seed pairing,descriptive_aggregated_reference_only
main_manuscript_deep_reference,main_manuscript_aggregated_reference,Table 9,KAIST,2Nm,30,CDTFAFN,0.8849,0.0192,0.8837,0.0196,0.8896,0.021,0.959875,0.0527960403344796,10,8,trimmed_mean_sd_drop_one_high_one_low,main-manuscript deep-model aggregated references; no deep-model training or per-seed pairing,descriptive_aggregated_reference_only
main_manuscript_deep_reference,main_manuscript_aggregated_reference,Table 9,KAIST,2Nm,5,MSF-DFormer,0.7455,0.0431,0.7422,0.0444,0.7519,0.044,0.77875,0.13088138714118214,10,8,trimmed_mean_sd_drop_one_high_one_low,main-manuscript deep-model aggregated references; no deep-model training or per-seed pairing,descriptive_aggregated_reference_only
main_manuscript_deep_reference,main_manuscript_aggregated_reference,Table 9,KAIST,2Nm,10,MSF-DFormer,0.8582,0.0283,0.8567,0.0295,0.8598,0.0298,0.9023749999999999,0.06797230594146411,10,8,trimmed_mean_sd_drop_one_high_one_low,main-manuscript deep-model aggregated references; no deep-model training or per-seed pairing,descriptive_aggregated_reference_only
main_manuscript_deep_reference,main_manuscript_aggregated_reference,Table 9,KAIST,2Nm,15,MSF-DFormer,0.9278,0.0197,0.9275,0.0202,0.9292,0.0199,0.9744999999999999,0.010732543966832802,10,8,trimmed_mean_sd_drop_one_high_one_low,main-manuscript deep-model aggregated references; no deep-model training or per-seed pairing,descriptive_aggregated_reference_only
main_manuscript_deep_reference,main_manuscript_aggregated_reference,Table 9,KAIST,2Nm,20,MSF-DFormer,0.9666,0.0106,0.9665,0.0107,0.967,0.0106,0.962375,0.02882029449884231,10,8,trimmed_mean_sd_drop_one_high_one_low,main-manuscript deep-model aggregated references; no deep-model training or per-seed pairing,descriptive_aggregated_reference_only
main_manuscript_deep_reference,main_manuscript_aggregated_reference,Table 9,KAIST,2Nm,25,MSF-DFormer,0.9897,0.0047,0.9896,0.0047,0.9898,0.0047,0.9833125,0.016192084292950024,10,8,trimmed_mean_sd_drop_one_high_one_low,main-manuscript deep-model aggregated references; no deep-model training or per-seed pairing,descriptive_aggregated_reference_only
main_manuscript_deep_reference,main_manuscript_aggregated_reference,Table 9,KAIST,2Nm,30,MSF-DFormer,0.9895,0.0048,0.9895,0.0048,0.9895,0.0048,0.9878125000000001,0.011543227180905684,10,8,trimmed_mean_sd_drop_one_high_one_low,main-manuscript deep-model aggregated references; no deep-model training or per-seed pairing,descriptive_aggregated_reference_only
main_manuscript_deep_reference,main_manuscript_aggregated_reference,Table 9,KAIST,2Nm,5,KDCNN-DF,0.6427,0.0438,0.6345,0.0462,0.6588,0.0485,0.473625,0.10237087903793735,10,8,trimmed_mean_sd_drop_one_high_one_low,main-manuscript deep-model aggregated references; no deep-model training or per-seed pairing,descriptive_aggregated_reference_only
main_manuscript_deep_reference,main_manuscript_aggregated_reference,Table 9,KAIST,2Nm,10,KDCNN-DF,0.7048,0.0423,0.6959,0.0455,0.727,0.0434,0.6546874999999999,0.12587963931371107,10,8,trimmed_mean_sd_drop_one_high_one_low,main-manuscript deep-model aggregated references; no deep-model training or per-seed pairing,descriptive_aggregated_reference_only
main_manuscript_deep_reference,main_manuscript_aggregated_reference,Table 9,KAIST,2Nm,15,KDCNN-DF,0.7549,0.0319,0.748,0.0342,0.7736,0.0343,0.7668124999999999,0.08323195656567255,10,8,trimmed_mean_sd_drop_one_high_one_low,main-manuscript deep-model aggregated references; no deep-model training or per-seed pairing,descriptive_aggregated_reference_only
main_manuscript_deep_reference,main_manuscript_aggregated_reference,Table 9,KAIST,2Nm,20,KDCNN-DF,0.7988,0.0265,0.794,0.0286,0.8114,0.0304,0.835,0.045491757495177094,10,8,trimmed_mean_sd_drop_one_high_one_low,main-manuscript deep-model aggregated references; no deep-model training or per-seed pairing,descriptive_aggregated_reference_only
main_manuscript_deep_reference,main_manuscript_aggregated_reference,Table 9,KAIST,2Nm,25,KDCNN-DF,0.8307,0.0243,0.8272,0.0259,0.8404,0.0272,0.8321875000000001,0.1335959246899021,10,8,trimmed_mean_sd_drop_one_high_one_low,main-manuscript deep-model aggregated references; no deep-model training or per-seed pairing,descriptive_aggregated_reference_only
main_manuscript_deep_reference,main_manuscript_aggregated_reference,Table 9,KAIST,2Nm,30,KDCNN-DF,0.8563,0.0211,0.8542,0.0222,0.8637,0.024,0.8509375,0.1253845179587576,10,8,trimmed_mean_sd_drop_one_high_one_low,main-manuscript deep-model aggregated references; no deep-model training or per-seed pairing,descriptive_aggregated_reference_only
main_manuscript_deep_reference,main_manuscript_aggregated_reference,Table 9,KAIST,2Nm,5,Full MHFL-MCA,0.9739,0.0195,0.9736,0.0201,0.9747,0.019,0.973875,0.018409830933498527,10,8,trimmed_mean_sd_drop_one_high_one_low,main-manuscript deep-model aggregated references; no deep-model training or per-seed pairing,descriptive_aggregated_reference_only
main_manuscript_deep_reference,main_manuscript_aggregated_reference,Table 9,KAIST,2Nm,10,Full MHFL-MCA,0.9839,0.0114,0.9837,0.0115,0.9841,0.0113,0.9769375,0.019980361451935724,10,8,trimmed_mean_sd_drop_one_high_one_low,main-manuscript deep-model aggregated references; no deep-model training or per-seed pairing,descriptive_aggregated_reference_only
