load,scenario,snr_db,accuracy_mean,accuracy_sd,macro_f1_mean,macro_f1_sd,weight_vibration_mean,weight_vibration_sd,weight_current_mean,weight_current_sd,model_seeds
2Nm,vibration_only_degraded,-10.0,0.8088000000000001,0.04027960608877239,0.796020149678449,0.04284560037268146,0.5234123369057974,0.10166878146901483,0.4765876730283101,0.1016687675783214,3
2Nm,vibration_only_degraded,-8.0,0.9310333333333333,0.030120351185793932,0.9290736410060111,0.03190378466526208,0.530186786254247,0.10265275377025647,0.46981321771939594,0.10265275603718232,3
2Nm,vibration_only_degraded,-6.0,0.9811,0.01396734286350372,0.9809983741056622,0.014068590886387866,0.5357445418834687,0.1039695100757262,0.46425547401110334,0.10396950400935136,3
2Nm,vibration_only_degraded,-4.0,0.9982666666666667,0.0011841546445554468,0.9982665792645714,0.001184247170343591,0.5407723248004913,0.10522651376659571,0.45922766327857967,0.10522652836333508,3
2Nm,vibration_only_degraded,-2.0,1.0,0.0,1.0,0.0,0.5448014199733734,0.10645599519826698,0.45519858598709106,0.1064559903345092,3
2Nm,vibration_only_degraded,0.0,0.9999666666666668,4.714045207909797e-05,0.9999666666145832,4.714052573616512e-05,0.548122105995814,0.10748030815427212,0.45187787810961405,0.107480295972928,3
4Nm,both_modalities_degraded,-10.0,0.8612000000000001,0.08294267096414644,0.8566687848029136,0.08952216317670945,0.49269972840944926,0.1149444462397441,0.5073002775510153,0.11494444448219503,3
4Nm,both_modalities_degraded,-8.0,0.9587666666666667,0.018119847926759466,0.9583871228576188,0.018520737396460586,0.5023719966411591,0.11649553479268675,0.49762800931930545,0.1164955154446423,3
4Nm,both_modalities_degraded,-6.0,0.9735999999999999,0.02035501576188704,0.9734587366783725,0.020500334597911618,0.5126296202341716,0.11705925351534034,0.4873703896999359,0.11705925585469444,3
4Nm,both_modalities_degraded,-4.0,0.9822333333333333,0.020441841621754372,0.9820798417730692,0.0206554281452044,0.5244326213995616,0.11588476945885126,0.4755674024422963,0.11588477716575062,3
4Nm,both_modalities_degraded,-2.0,0.9846,0.02100111108171821,0.984407956877512,0.021272698134524655,0.5372278968493144,0.1130160787817504,0.4627720991770426,0.11301607884780471,3
4Nm,both_modalities_degraded,0.0,0.9785333333333334,0.029654154664884465,0.9779870440893198,0.03042664803278595,0.5495386600494384,0.1091448179027612,0.45046135783195496,0.10914483253659894,3
4Nm,current_only_degraded,-10.0,0.9208,0.07693131135413374,0.9041876793959555,0.09906304635277269,0.5167960941791535,0.12444320117794469,0.4832038938999175,0.12444319144531263,3
4Nm,current_only_degraded,-8.0,0.9380666666666667,0.07501174722816574,0.9261779277712773,0.09173249802799892,0.5193213204542796,0.12379319229343135,0.48067868153254195,0.12379320446342987,3
4Nm,current_only_degraded,-6.0,0.9559666666666667,0.058634025010132894,0.9512050984708567,0.06536324348299402,0.5240961452325186,0.12213465084544156,0.4759038627147674,0.1221346605798378,3
4Nm,current_only_degraded,-4.0,0.9689333333333333,0.04294875499424345,0.9672247587651617,0.04536482705586718,0.5314105947812399,0.11886958062399729,0.4685893992582957,0.11886957819957202,3
4Nm,current_only_degraded,-2.0,0.9752666666666667,0.03406311136046669,0.9744272002045826,0.0352498858029497,0.5403899470965068,0.11426957276836977,0.4596100707848867,0.11426957519106969,3
4Nm,current_only_degraded,0.0,0.9785333333333334,0.029654154664884465,0.9779870440893198,0.03042664803278595,0.5495386600494384,0.1091448179027612,0.45046135783195496,0.10914483253659894,3
4Nm,vibration_only_degraded,-10.0,0.7719,0.051782300708511114,0.7534772893672912,0.05431533244407493,0.5247316241264343,0.10258361738718567,0.47526836991310123,0.10258360786316781,3
4Nm,vibration_only_degraded,-8.0,0.8958333333333334,0.04212499917573354,0.8890504345435161,0.04820893097662293,0.5317886074384054,0.10379008367904943,0.4682113885879517,0.10379007848975597,3
4Nm,vibration_only_degraded,-6.0,0.9580333333333333,0.0289556365650781,0.9572579400489855,0.029765954514274908,0.5375070194403331,0.10523505537106065,0.4624929885069529,0.10523505304759352,3
4Nm,vibration_only_degraded,-4.0,0.9839333333333333,0.012216200536809925,0.9839001546867455,0.012239714095389343,0.5422894199689229,0.10664080544468459,0.4577105681101481,0.10664081744320687,3
4Nm,vibration_only_degraded,-2.0,0.9866666666666667,0.017937360142699126,0.9865444282892996,0.018110222036609516,0.546266371011734,0.10800183316564924,0.45373363693555196,0.10800183075145797,3
4Nm,vibration_only_degraded,0.0,0.9785333333333334,0.029654154664884465,0.9779870440893198,0.03042664803278595,0.5495386600494384,0.1091448179027612,0.45046135783195496,0.10914483253659894,3
