protocol,load,condition,model_seed,noise_repeat,weight_vibration,weight_current,accuracy,macro_precision,macro_recall,macro_f1,weight_branch1_within_sd,weight_branch2_within_sd
stage3,2Nm,both_severe,20260807,2,0.500586748123169,0.49941325187683105,0.558,0.6322021592509701,0.5579999999999999,0.497151724799988,0.07385430485010147,0.07385430485010147
stage3,2Nm,both_severe,20260807,3,0.5017818808555603,0.4982181489467621,0.565,0.6449633873813336,0.5650000000000001,0.5090311393671434,0.07488704472780228,0.07488704472780228
stage3,2Nm,both_severe,20260807,4,0.5020170211791992,0.4979829788208008,0.544,0.6223528671935166,0.544,0.4792178104428242,0.07578789442777634,0.07578789442777634
stage3,2Nm,both_severe,20260807,5,0.501262903213501,0.4987371563911438,0.5365,0.6190006904133479,0.5365,0.4682327061504098,0.07361385226249695,0.07361385226249695
stage3,4Nm,baseline_0dB,20260807,1,0.5491634607315063,0.45083653926849365,0.94,0.9538461538461538,0.9400000000000001,0.9386189258312021,0.12678304314613342,0.12678304314613342
stage3,4Nm,baseline_0dB,20260807,2,0.5491702556610107,0.45082980394363403,0.9355,0.9512287334593573,0.9355,0.9337781278524894,0.1269150674343109,0.1269150674343109
stage3,4Nm,baseline_0dB,20260807,3,0.5491350293159485,0.4508650302886963,0.934,0.9503759398496241,0.9339999999999999,0.932152861658657,0.12662798166275024,0.12662798166275024
stage3,4Nm,baseline_0dB,20260807,4,0.548865795135498,0.45113420486450195,0.936,0.9515151515151515,0.9359999999999999,0.93431855500821,0.1269245743751526,0.1269245743751526
stage3,4Nm,baseline_0dB,20260807,5,0.549273669719696,0.45072633028030396,0.939,0.9532567049808429,0.9390000000000001,0.9375475911670794,0.12686055898666382,0.12686055898666382
stage3,4Nm,vibration_missing,20260807,1,0.6362093687057495,0.36379072070121765,0.2,0.04,0.2,0.06666666666666668,8.573922968935221e-05,8.573925151722506e-05
stage3,4Nm,current_missing,20260807,1,0.58930504322052,0.41069498658180237,0.812,0.9030927835051547,0.812,0.7586959312026698,0.13383588194847107,0.13383588194847107
stage3,4Nm,vibration_severe,20260807,1,0.5472252368927002,0.4527748227119446,0.517,0.5852953677319677,0.5170000000000001,0.4562149002398036,0.06971318274736404,0.06971318274736404
stage3,4Nm,vibration_severe,20260807,2,0.5475041270256042,0.452495813369751,0.5165,0.5850497812097878,0.5165,0.4580190116558153,0.0704873651266098,0.0704873651266098
stage3,4Nm,vibration_severe,20260807,3,0.5476876497268677,0.45231232047080994,0.513,0.5930513245156426,0.5130000000000001,0.45625802119061687,0.06853679567575455,0.06853679567575455
stage3,4Nm,vibration_severe,20260807,4,0.5466901063919067,0.4533098638057709,0.515,0.5908142619791243,0.515,0.4590860988660931,0.07107763737440109,0.07107763737440109
stage3,4Nm,vibration_severe,20260807,5,0.5483279824256897,0.4516719877719879,0.5155,0.5829410900925625,0.5155000000000001,0.45241128928658475,0.06849165260791779,0.06849165260791779
stage3,4Nm,current_severe,20260807,1,0.5143046975135803,0.48569533228874207,0.814,0.9036269430051813,0.8140000000000001,0.7626869956301234,0.12351862341165543,0.12351862341165543
stage3,4Nm,current_severe,20260807,2,0.5145748257637024,0.4854251742362976,0.8135,0.9034928848641656,0.8135,0.7616951270886116,0.1236797645688057,0.1236797645688057
