N,Acc2_Mean,Acc2_Std,F12_Mean,F12_Std,Prec2_Mean,Prec2_Std,Rec2_Mean,Rec2_Std,Acc4_Mean,Acc4_Std,F14_Mean,F14_Std,Prec4_Mean,Prec4_Std,Rec4_Mean,Rec4_Std,TrainTime_Mean_s,TrainTime_Std_s,Test2_Infer_Mean_s,Test2_Infer_Std_s,Test2_Viz_Mean_s,Test2_Viz_Std_s,Test4_Infer_Mean_s,Test4_Infer_Std_s,Test4_Viz_Mean_s,Test4_Viz_Std_s
15,0.851125,0.09598852470477917,0.8490543356102469,0.09966646002211252,0.8688235232044678,0.08701651696949826,0.8511249999999999,0.09598852470477919,0.6975625000000001,0.06798779187287964,0.675092009655974,0.07326925883281288,0.7538370665139013,0.07025379413622071,0.6975625000000001,0.06798779187287964,60.21546992499998,2.0674765440954475,1.8867856625003014,0.08165784256370442,6.344477250000068,0.2846089000164835,1.7082884749997902,0.0745954034484949,6.011523099999863,0.2814034105036926
16,0.7596875000000001,0.15046343773073245,0.7446412028587794,0.1707803676610157,0.7978539645036067,0.11653027421897459,0.7596875,0.15046343773073242,0.66125,0.10140204633043653,0.6400931334381117,0.11578775276295782,0.7302172158572489,0.09998783541651439,0.6612499999999999,0.10140204633043656,72.81852581250007,4.61169059531626,2.07196794999993,0.16398071161842495,6.688536812500047,0.1773094811319412,1.799159537500259,0.0665510027156168,6.233918237499893,0.22632940782185496
17,0.846,0.0816639455328972,0.8416744823602339,0.0863044415657051,0.8634204405268948,0.0727998425987116,0.846,0.0816639455328972,0.7445625,0.06121194608693633,0.7279474715036828,0.0651287097915699,0.7874011294844524,0.06652899080897853,0.7445625,0.061211946086936336,64.36299942499977,4.0574666706973135,2.0021005875001947,0.06455762329611345,6.740294025000253,0.24050682435484766,1.7244278375000022,0.16093124882044646,6.249592724999957,0.30587004047993066
18,0.919,0.048816621144851906,0.9183688560105769,0.04932436132321542,0.9247554794611902,0.04094826102430017,0.919,0.04881662114485189,0.81,0.04712350793393889,0.8021002228100632,0.05345747166680365,0.8400698275564791,0.03840158747441456,0.81,0.04712350793393888,72.25465408749983,3.599854277403098,2.2555722624999817,0.15191342133093588,7.184380100000453,0.3454473929563188,1.8433951624999736,0.10010417434572752,6.4704981500001395,0.23084217548038682
19,0.8339375,0.09395159574882161,0.8297023062487081,0.10200576294912116,0.8424823267155979,0.09088301788212018,0.8339375,0.09395159574882164,0.7220625,0.06738018880761615,0.7095963869320278,0.07422344183774977,0.7635808397316589,0.07426250063268419,0.7220625,0.06738018880761613,72.62545864999993,4.855017852127313,2.1559138625000287,0.07772538761516495,6.841074750000416,0.26070762263641695,1.8873809249998885,0.18229000484521882,6.491188912500093,0.32438813684378853
20,0.8298749999999999,0.09373791588786257,0.8212335547294501,0.10425336936614121,0.8348348648469353,0.10348371462487715,0.829875,0.09373791588786261,0.7309999999999999,0.06187739894339451,0.7149605068872287,0.07861386451168294,0.7486498634583838,0.08550619468032791,0.731,0.06187739894339451,83.11677848749991,2.3453901628336657,2.2088964125002803,0.09799838065447965,6.940005449999944,0.11290753940480684,1.9873684000001504,0.10269596196216306,6.401576149999983,0.13727325172398647
21,0.81475,0.12117678201701844,0.8061584194640776,0.1371925538206162,0.827566264913024,0.11167472109574157,0.81475,0.1211767820170184,0.7355625,0.08904964819554315,0.7226743318013886,0.10105325806731369,0.7670358330142771,0.08989223807137973,0.7355624999999999,0.08904964819554308,83.09372008750029,3.015195694178058,2.1519240874995376,0.0705729701643573,6.854292700000087,0.14180127981315752,1.9239249000002019,0.1235016706518567,6.445241462500462,0.2702823084582469
22,0.7867500000000001,0.08036479328661275,0.7775659641312058,0.08851846945981467,0.8125212915724556,0.0761301741681711,0.7867500000000001,0.08036479328661275,0.695,0.04790876746483884,0.6784145349750509,0.05408768458182884,0.7466477283159976,0.06451667531162668,0.695,0.04790876746483883,86.97681717499972,2.6737351267379452,2.1916198750002422,0.07349591526940381,7.017665362500111,0.11296765593601332,1.9201958999999533,0.09433906470017514,6.467205125000419,0.05445981892495378
23,0.8748750000000001,0.0779906845398859,0.8673051092605768,0.08898966654950487,0.8911851996567945,0.060838728949356054,0.8748750000000001,0.07799068453988596,0.7726875,0.04818320344009933,0.752379433525026,0.0581762859539219,0.8208273118190502,0.04104659258628199,0.7726875,0.0481832034400993,79.0884374250004,2.2259255364173844,2.0816758999999365,0.0428277128273135,6.71793191249958,0.14500878021152633,1.939115799999854,0.09806163908083441,6.347292649999645,0.20659263114085943
24,0.836875,0.09080258462731111,0.8342359712278217,0.09276618525826483,0.853301301482313,0.07982828285287336,0.836875,0.09080258462731111,0.7359375,0.07885684715831594,0.7246142125235556,0.08803505721111578,0.7663176958983798,0.08606512096570634,0.7359375000000001,0.07885684715831592,79.69399796250013,0.9799107436344339,2.102417762500181,0.035240258522303176,6.598236574999646,0.06099717116049291,1.8206224500002008,0.08408352600954955,6.233420337499865,0.1469621097046184
25,0.8836250000000001,0.07342459993081336,0.8811791739472224,0.07602266570160096,0.8913495549773889,0.06559715615874064,0.883625,0.07342459993081342,0.7835,0.0739847957353401,0.7750974198683427,0.07560508709970169,0.8266523253252067,0.04902271060209409,0.7835,0.07398479573534009,82.60930826250001,2.3813258580828953,2.084018862499761,0.007848118843789272,6.664862862500058,0.06297377171544721,1.8586117500001365,0.09401102799535963,6.185029487500515,0.08971807216257671
26,0.9406875,0.029711043296222345,0.9404164205781254,0.029754790687985627,0.9422807751648822,0.028913485887229116,0.9406875,0.029711043296222407,0.8140625,0.03981475660794624,0.8011349974966416,0.04617303659799549,0.8482748560856623,0.042470091700287586,0.8140625,0.039814756607946276,87.47393528750035,1.8224432317985868,2.02593562499942,0.03814651798245192,6.577196987499974,0.06793642093806337,1.863654587500605,0.060072828428246405,6.126805824998883,0.06086697852896281
27,0.858,0.10946917374311363,0.8529613274107766,0.11914080193910845,0.8642364891081202,0.10555569087299753,0.8580000000000001,0.10946917374311362,0.7789375,0.09401377475535168,0.7692872504724622,0.09706430607804885,0.7992662180248121,0.09987684743421368,0.7789375,0.09401377475535166,85.40301571250029,1.2406786130201537,1.9983522500006075,0.026641611082995603,6.622262462499748,0.2681215974675087,1.797232874999736,0.1825631705350717,6.144423050000114,0.11323855280730163
28,0.8644375,0.08034901893458317,0.8584883640936646,0.09008344738747355,0.8912510220442887,0.04881010097600968,0.8644375,0.08034901893458316,0.7305625,0.07091607606001618,0.7116646189964901,0.0785798789421356,0.7829381912899906,0.05851857597349596,0.7305625,0.07091607606001622,89.27021431249977,2.1076622065198243,2.0345771000006607,0.03985495155370741,6.54795970000032,0.1423683996041541,1.7986248250003882,0.10463546972028953,6.09624147500017,0.059337841168328714
29,0.77475,0.12516039709109267,0.7520524784605425,0.15375062245470683,0.7770854148429264,0.16594593572398667,0.77475,0.1251603970910927,0.684875,0.11070533806009537,0.6620758786941883,0.13560609970351264,0.7047069788982208,0.1460579175443728,0.684875,0.11070533806009539,92.82256017500004,2.24828359121236,2.132864362499731,0.049511730802337235,6.842166487500435,0.12927291720444223,1.9576410374997977,0.10567904742910088,6.368223412500356,0.12653567235940374
30,0.8769375,0.08431727191833237,0.8742163941560837,0.08826503803245,0.8809380724809766,0.08159936090920918,0.8769374999999999,0.08431727191833233,0.7798125,0.05352390674969455,0.7726735808966925,0.05413733919808793,0.7997529205817809,0.06002761399811982,0.7798125,0.05352390674969455,88.4110123749997,1.0568970896720205,2.0321517624997796,0.03626563979953195,6.556894662499872,0.09920247855011989,1.8064116000009562,0.10453267919010337,6.116645824999523,0.08912003555081126
